epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5821.55,1.28509,0.69806,1.30323,0.97009,0.96142,0.98037,0.62786,1.19268,0.53574,1.29544,0.0011882,0.0011882,0.0011882
43,5973.16,1.27922,0.69282,1.29629,0.95868,0.96284,0.98135,0.62362,1.22183,0.54037,1.34056,0.0011684,0.0011684,0.0011684
44,6112.96,1.288,0.68805,1.29688,0.95996,0.96245,0.97714,0.62425,1.19826,0.53724,1.34856,0.0011486,0.0011486,0.0011486
45,6260.93,1.25929,0.67366,1.28566,0.95617,0.9585,0.96773,0.63289,1.1504,0.51773,1.2986,0.0011288,0.0011288,0.0011288
46,6407.22,1.27017,0.6701,1.29264,0.95616,0.97036,0.97849,0.63068,1.19455,0.52659,1.31164,0.001109,0.001109,0.001109
47,6542,1.27313,0.68241,1.28687,0.96554,0.96047,0.9743,0.62717,1.19173,0.51318,1.32713,0.0010892,0.0010892,0.0010892
48,6680.2,1.25318,0.65948,1.27673,0.96997,0.9585,0.97746,0.63499,1.18307,0.50702,1.3036,0.0010694,0.0010694,0.0010694
49,6817.08,1.23007,0.65297,1.26087,0.96892,0.96245,0.98129,0.64474,1.17558,0.49547,1.30731,0.0010496,0.0010496,0.0010496
50,6960.12,1.23736,0.65075,1.27419,0.97256,0.96443,0.98211,0.6395,1.16221,0.48798,1.29465,0.0010298,0.0010298,0.0010298
51,7089.69,1.22972,0.65072,1.2693,0.96657,0.97138,0.98199,0.65219,1.13476,0.49253,1.28813,0.00101,0.00101,0.00101
52,7219.71,1.22351,0.63485,1.25784,0.96483,0.97593,0.98157,0.6494,1.14558,0.48345,1.28942,0.0009902,0.0009902,0.0009902
53,7359.63,1.22339,0.63935,1.26016,0.9617,0.97233,0.97887,0.64832,1.13871,0.47503,1.27626,0.0009704,0.0009704,0.0009704
54,7497.57,1.20954,0.62322,1.25001,0.97379,0.95448,0.9773,0.64008,1.15509,0.49763,1.30219,0.0009506,0.0009506,0.0009506
55,7635.17,1.21686,0.63309,1.26178,0.97464,0.96245,0.9842,0.65934,1.13579,0.48189,1.27304,0.0009308,0.0009308,0.0009308
56,7775.83,1.17762,0.61262,1.24087,0.96995,0.97036,0.97723,0.65448,1.11138,0.4853,1.25139,0.000911,0.000911,0.000911
57,7916.73,1.18436,0.61574,1.24339,0.97614,0.97022,0.9778,0.66054,1.10706,0.47058,1.26713,0.0008912,0.0008912,0.0008912
58,8053.23,1.18645,0.60743,1.23422,0.97026,0.96709,0.98165,0.66676,1.10737,0.47287,1.25142,0.0008714,0.0008714,0.0008714
59,8188.21,1.18094,0.60967,1.23949,0.96923,0.96047,0.97727,0.66227,1.10502,0.48192,1.24452,0.0008516,0.0008516,0.0008516
60,8326.12,1.186,0.60807,1.23053,0.97051,0.9585,0.97769,0.64941,1.16451,0.4904,1.29995,0.0008318,0.0008318,0.0008318
61,8463.42,1.18273,0.59797,1.23531,0.97751,0.96443,0.97762,0.6632,1.09526,0.47239,1.23979,0.000812,0.000812,0.000812
62,8615.21,1.16081,0.59326,1.22908,0.97622,0.97373,0.98424,0.65606,1.10997,0.46144,1.24899,0.0007922,0.0007922,0.0007922
63,8746.99,1.15671,0.59097,1.2207,0.97578,0.96245,0.97945,0.65854,1.12694,0.45776,1.25455,0.0007724,0.0007724,0.0007724
64,8883.97,1.15142,0.58379,1.21787,0.95556,0.97741,0.97455,0.66963,1.09999,0.46928,1.23341,0.0007526,0.0007526,0.0007526
65,9017.55,1.14085,0.58326,1.21349,0.96455,0.97431,0.97704,0.66636,1.09726,0.44508,1.23207,0.0007328,0.0007328,0.0007328
66,9154.24,1.14436,0.57582,1.21311,0.9675,0.97431,0.98037,0.67431,1.08584,0.44767,1.23439,0.000713,0.000713,0.000713
67,9291.81,1.12378,0.56519,1.20805,0.96671,0.9755,0.97606,0.66514,1.09958,0.44021,1.25659,0.0006932,0.0006932,0.0006932
68,9423.62,1.12745,0.5703,1.20233,0.97451,0.98241,0.98519,0.66357,1.10759,0.4547,1.24311,0.0006734,0.0006734,0.0006734
69,9554.79,1.11347,0.55249,1.19045,0.97437,0.97689,0.98128,0.68269,1.07322,0.43027,1.22395,0.0006536,0.0006536,0.0006536
70,9701.8,1.12103,0.56806,1.19462,0.97832,0.98118,0.98583,0.67577,1.07717,0.42878,1.22794,0.0006338,0.0006338,0.0006338
71,9830.84,1.09797,0.55111,1.18497,0.9725,0.97836,0.98587,0.67309,1.10729,0.45684,1.25433,0.000614,0.000614,0.000614
72,9958.76,1.10317,0.5485,1.18766,0.95921,0.97597,0.98058,0.67647,1.09669,0.45859,1.23438,0.0005942,0.0005942,0.0005942
73,10091.2,1.10937,0.54976,1.19479,0.95786,0.99012,0.98547,0.67668,1.07249,0.43848,1.21536,0.0005744,0.0005744,0.0005744
74,10217.1,1.09368,0.54739,1.17917,0.97175,0.97628,0.98157,0.67218,1.08734,0.43532,1.22733,0.0005546,0.0005546,0.0005546
75,10340.6,1.08983,0.53177,1.17706,0.97555,0.98221,0.98304,0.67171,1.06574,0.44075,1.19604,0.0005348,0.0005348,0.0005348
76,10467.9,1.08979,0.5489,1.17794,0.9725,0.97849,0.98121,0.68103,1.05784,0.41645,1.21688,0.000515,0.000515,0.000515
77,10598.6,1.08484,0.53821,1.18111,0.97996,0.98419,0.98471,0.68693,1.06028,0.4143,1.21001,0.0004952,0.0004952,0.0004952
78,10738.5,1.08192,0.52854,1.17764,0.98218,0.98006,0.98599,0.67787,1.08144,0.42787,1.21612,0.0004754,0.0004754,0.0004754
79,10870.2,1.06615,0.52252,1.16748,0.97257,0.98098,0.98347,0.68072,1.04997,0.4237,1.19881,0.0004556,0.0004556,0.0004556
80,11004.2,1.04963,0.51504,1.16752,0.97981,0.98221,0.98801,0.68874,1.05012,0.42208,1.20891,0.0004358,0.0004358,0.0004358
81,11133.8,1.04769,0.52068,1.16211,0.98015,0.97594,0.98282,0.68002,1.06761,0.4231,1.2083,0.000416,0.000416,0.000416
82,11263.7,1.0419,0.51301,1.15329,0.96648,0.97233,0.97984,0.68288,1.0827,0.42705,1.22869,0.0003962,0.0003962,0.0003962
83,11389.1,1.02042,0.50091,1.13938,0.97051,0.97567,0.98093,0.69332,1.06371,0.42438,1.21174,0.0003764,0.0003764,0.0003764
84,11521,1.01581,0.50114,1.1434,0.9726,0.98218,0.98246,0.67897,1.06199,0.4277,1.21053,0.0003566,0.0003566,0.0003566
85,11646.1,1.01247,0.50195,1.14548,0.97267,0.98419,0.98106,0.67673,1.06692,0.42766,1.20748,0.0003368,0.0003368,0.0003368
86,11762,1.00335,0.49099,1.13516,0.98076,0.98024,0.98376,0.68843,1.0576,0.425,1.19645,0.000317,0.000317,0.000317
87,11887.9,1.01779,0.49489,1.13617,0.98228,0.98591,0.98462,0.68595,1.06373,0.42235,1.20027,0.0002972,0.0002972,0.0002972
88,12018.3,1.00986,0.49414,1.1403,0.97956,0.98221,0.98546,0.68435,1.06024,0.42342,1.19936,0.0002774,0.0002774,0.0002774
89,12142.7,0.99267,0.49108,1.1276,0.9758,0.97826,0.9873,0.69408,1.04258,0.41494,1.19287,0.0002576,0.0002576,0.0002576
